0,1,2,3
-738.6452008485794,-1027.066285431385,-749.1767591238022,-494.3848549425602
-737.4484328627586,-1029.938528597355,-754.2031846642494,-488.40101501345634
-739.7222920358181,-1015.6969895660877,-740.5600296258926,-493.7864709496498
-730.267824947834,-1015.2182823717594,-747.6209607422352,-493.4274405539036
-723.8052778244019,-1016.6544039547443,-744.9880711734295,-479.3055783212185
-745.2274247705936,-1013.1837767958641,-748.6980519294739,-501.0867556631565
-757.7934886217117,-1027.1859622299671,-753.7244774699211,-512.5757283270359
-730.1481481492519,-1008.6360584497452,-740.6797064244747,-478.94654792547226
-721.5314186513424,-1001.5751273334026,-730.8662089407444,-472.84303119778633
-768.9234308898449,-1027.066285431385,-766.051187723875,-528.1337121427059
-731.9433001279831,-999.7799753546715,-727.7546121776104,-486.6058630347252
-762.2215301692486,-1037.71752050519,-769.4021380841732,-516.8840930759907
-746.7832231521606,-1005.8834920823574,-743.0732423961163,-505.51479721069336
-759.2296102046967,-1017.0134343504906,-755.2802758514881,-514.6102339029312
-746.0651623606682,-1012.8247464001179,-754.5622150599957,-503.8393220305443
-753.2457702755928,-1008.6360584497452,-740.7993832230568,-508.26736357808113
-740.6797064244747,-984.3416683375835,-728.3529961705208,-498.81289649009705
-744.270010381937,-1002.2931881248951,-749.1767591238022,-502.2835236489773
-769.043107688427,-1020.2447079122066,-759.3492870032787,-517.8415074646473
-740.7993832230568,-977.1610604226589,-728.2333193719387,-507.19027239084244
-730.5071785449982,-976.0839692354202,-735.4139272868633,-497.25709810853004
-723.4462474286556,-974.0494636595249,-718.7788522839546,-476.91204234957695
-767.9660165011883,-1008.0376744568348,-761.6231461763382,-527.8943585455418
-768.3250468969345,-1011.0295944213867,-765.6921573281288,-521.7908418178558
-763.7773285508156,-998.1045001745224,-749.4161127209663,-520.474397033453
-734.3368360996246,-963.1588749885559,-719.377236276865,-499.88998767733574
-749.6554663181305,-990.6845386624336,-745.5864551663399,-507.7886563837528
-751.2112646996975,-987.8122954964638,-744.9880711734295,-512.3363747298717
-751.2112646996975,-976.8020300269127,-730.3875017464161,-513.4134659171104
-747.5012839436531,-984.4613451361656,-733.0203913152218,-508.26736357808113
-762.7002373635769,-1002.5325417220592,-739.7222920358181,-513.4134659171104
-769.7611684799194,-985.6581131219864,-735.4139272868633,-524.3040545880795
-723.8052778244019,-944.2499408125877,-695.8009069561958,-481.8187910914421
-774.4285636246204,-1006.4818760752678,-745.9454855620861,-527.2959745526314
-789.8668706417084,-1006.4818760752678,-758.152519017458,-546.6836159229279
