timestamp,ch1,ch2,ch3,ch4
0.000000000000000000e+00,-1.123884815484285355e+03,6.043678328394889832e+02,-7.375681096613407135e+02,3.159946189761161804e+03
5.000000000000000104e-03,-1.217472071975469589e+03,4.990522500872612000e+02,-8.554497562646865845e+02,3.281178786724805832e+03
1.000000000000000021e-02,-1.079484723210334778e+03,6.765329423844814301e+02,-6.733016688227653503e+02,3.090892676979303360e+03
1.499999999999999944e-02,-1.117063237965106964e+03,6.345263860821723938e+02,-7.007076556980609894e+02,3.072701803594827652e+03
2.000000000000000042e-02,-1.254093172341585159e+03,4.729627079963684082e+02,-8.718454776704311371e+02,3.310379925578832626e+03
2.500000000000000139e-02,-1.175465515673160553e+03,5.874934042394161224e+02,-7.739498564302921295e+02,3.212005597144365311e+03
2.999999999999999889e-02,-1.069431872129440308e+03,7.104014763832092285e+02,-6.339280020892620087e+02,3.008674716353416443e+03
3.500000000000000333e-02,-1.199281198590993881e+03,5.284927425384521484e+02,-8.103316031992435455e+02,3.245036393553018570e+03
4.000000000000000083e-02,-1.181210002005100250e+03,5.539839006364345551e+02,-7.898668706417083740e+02,3.278306543558835983e+03
4.499999999999999833e-02,-1.077809248030185699e+03,6.996305645108222961e+02,-6.458956819474697113e+02,2.963556563287973404e+03
5.000000000000000278e-02,-1.172114565312862396e+03,5.693025308549404144e+02,-7.672479557096958160e+02,3.169759687244892120e+03
5.500000000000000028e-02,-1.237218743741512299e+03,5.001293412744998932e+02,-8.464739963710308075e+02,3.313132491946220398e+03
5.999999999999999778e-02,-1.101385577350854874e+03,6.706687792539596558e+02,-6.797642159461975098e+02,3.115665774285793304e+03
6.500000000000000222e-02,-1.115268085986375809e+03,6.554698258340358734e+02,-6.851496718823909760e+02,3.099509406477212906e+03
7.000000000000000666e-02,-1.214001444816589355e+03,5.270566209554672241e+02,-8.202647774815559387e+02,3.333477547705173492e+03
7.499999999999999722e-02,-1.202632148951292038e+03,5.691828540563583374e+02,-7.799336963593959808e+02,3.165211968898773193e+03
8.000000000000000167e-02,-1.065961244970560074e+03,7.244036618173122406e+02,-6.229177366197109222e+02,3.048168059885501862e+03
8.500000000000000611e-02,-1.174268747687339783e+03,5.730125116109848022e+02,-7.723940580487251282e+02,3.356216139435768127e+03
8.999999999999999667e-02,-1.232072641402482986e+03,5.251417921781539917e+02,-8.252912030220031738e+02,3.316124411910772324e+03
9.500000000000000111e-02,-1.080442137598991394e+03,7.180607914924621582e+02,-6.400315188169479370e+02,3.083951422661542892e+03
1.000000000000000056e-01,-1.174986808478832245e+03,5.908443545997142792e+02,-7.480996679365634918e+02,3.282136201113462448e+03
1.049999999999999961e-01,-1.241527108490467072e+03,5.014457860589027405e+02,-8.333095485270023346e+02,3.434245412111282349e+03
1.100000000000000006e-01,-1.116704207569360733e+03,6.753361743986606598e+02,-6.712671632468700409e+02,3.246352838337421417e+03
1.150000000000000050e-01,-1.147102114409208298e+03,6.464940659403800964e+02,-6.920909262001514435e+02,3.226725843369960785e+03
1.199999999999999956e-01,-1.247630625218153000e+03,5.173628002703189850e+02,-8.260092638134956360e+02,3.487501587480306625e+03
1.250000000000000000e-01,-1.187792225927114487e+03,6.041284792423248291e+02,-7.559983366429805756e+02,3.369500264078378677e+03
1.300000000000000044e-01,-1.106292326092720032e+03,7.051356972455978394e+02,-6.342870324850082397e+02,3.201833069264888763e+03
1.350000000000000089e-01,-1.201914088159799576e+03,5.561380830109119415e+02,-7.814894947409629822e+02,3.503059571295976639e+03
1.400000000000000133e-01,-1.216993364781141281e+03,5.582922653853893280e+02,-7.962097409665584564e+02,3.507846643239259720e+03
1.449999999999999900e-01,-1.132381868183612823e+03,6.718655472397804260e+02,-6.826364591121673584e+02,3.208894000381231308e+03
1.499999999999999944e-01,-1.174867131680250168e+03,5.980249625146389008e+02,-7.522883558869361877e+02,3.431492845743894577e+03
1.549999999999999989e-01,-1.238535188525915146e+03,5.225089026093482971e+02,-8.373785596787929535e+02,3.586234946310520172e+03
1.600000000000000033e-01,-1.143033103257417679e+03,6.620520497560501099e+02,-6.969976749420166016e+02,3.365072222530841827e+03
1.650000000000000078e-01,-1.123765138685703278e+03,6.733016688227653503e+02,-6.788068015575408936e+02,3.388768228650093079e+03
1.700000000000000122e-01,-1.253016081154346466e+03,5.147299107015132904e+02,-8.427640156149864197e+02,3.631712129771709442e+03
1.749999999999999889e-01,-1.189108670711517334e+03,6.049662168323993683e+02,-7.609050853848457336e+02,3.500785712122917175e+03
1.799999999999999933e-01,-1.073740236878395081e+03,7.419961512088775635e+02,-6.117877943515777588e+02,3.358489998608827591e+03
1.849999999999999978e-01,-1.239851633310317993e+03,5.244237313866615295e+02,-8.224189598560333252e+02,3.618188651531934738e+03
1.900000000000000022e-01,-1.269172448962926865e+03,5.065918883979320526e+02,-8.471920571625232697e+02,3.642004334449768066e+03
1.950000000000000067e-01,-1.110121983647346497e+03,6.974763821363449097e+02,-6.530762898623943329e+02,3.417969367504119873e+03
2.000000000000000111e-01,-1.174508101284503937e+03,6.008972056806087494e+02,-7.404403528273105621e+02,3.593056523829698563e+03
2.049999999999999878e-01,-1.233748116582632065e+03,5.333994912803173065e+02,-8.227779902517795563e+02,3.700406612157821655e+03
2.099999999999999922e-01,-1.134655727356672287e+03,6.603765745759010315e+02,-6.966386445462703705e+02,3.469909098088741302e+03
2.149999999999999967e-01,-1.128073503434658051e+03,6.592994833886623383e+02,-6.911335118114948273e+02,3.353224219471216202e+03
2.200000000000000011e-01,-1.262470548242330551e+03,4.958209765255451202e+02,-8.646648697555065155e+02,3.586234946310520172e+03
2.250000000000000056e-01,-1.134296696960926056e+03,6.539140274524688721e+02,-7.156672555208206177e+02,3.561222495406866074e+03
2.300000000000000100e-01,-1.117661621958017349e+03,6.893383598327636719e+02,-6.727032848298549652e+02,3.326655970185995102e+03
2.349999999999999867e-01,-1.263068932235240936e+03,5.050360900163650513e+02,-8.573645850419998169e+02,3.560863465011119843e+03
