timestamp,ch1,ch2,ch3,ch4
0.000000000000000000e+00,-1.351031379193067551e+03,4.805023463070392609e+02,1.519895341992378235e+02,5.166447394788265228e+03
5.000000000000000104e-03,-1.395551148265600204e+03,4.009172752499580383e+02,5.600874173641204834e+01,5.414896428644657135e+03
1.000000000000000021e-02,-1.458501144319772720e+03,3.331802072525024414e+02,-9.693820685148239136e+00,5.589026170581579208e+03
1.499999999999999944e-02,-1.353544591963291168e+03,4.593195529580116272e+02,8.748373976349830627e+01,5.270925239950418472e+03
2.000000000000000042e-02,-1.336909516960382462e+03,4.721249704062938690e+02,8.449181979894638062e+01,5.255606609731912613e+03
2.500000000000000139e-02,-1.466399813026189804e+03,3.143909498751163483e+02,-4.571653705835342407e+01,5.536009348809719086e+03
2.999999999999999889e-02,-1.404885938555002213e+03,3.988827696740627289e+02,1.986634856462478638e+01,5.289714497327804565e+03
3.500000000000000333e-02,-1.311897066056728363e+03,4.921109957695007324e+02,9.681853005290031433e+01,4.983341892957687378e+03
4.000000000000000083e-02,-1.424034226328134537e+03,3.450282103121280670e+02,-1.854990378022193909e+01,5.319394343376159668e+03
4.499999999999999833e-02,-1.425709701508283615e+03,3.492168982625007629e+02,-1.017252787947654724e+01,5.315564685821533203e+03
5.000000000000000278e-02,-1.312136419653892517e+03,4.807416999042034149e+02,1.060336435437202454e+02,4.966946171551942825e+03
5.500000000000000028e-02,-1.374248678117990494e+03,3.970876176953315735e+02,4.392138507962226868e+01,5.200315928786993027e+03
5.999999999999999778e-02,-1.448208939641714096e+03,3.181009306311607361e+02,-1.723345899581909180e+01,5.367743770003318787e+03
6.500000000000000222e-02,-1.349236227214336395e+03,4.435222155451774597e+02,8.317537501454353333e+01,5.058259568870067596e+03
7.000000000000000666e-02,-1.327096019476652145e+03,4.521389450430870056e+02,9.478402447700500488e+01,5.126475344061851501e+03
7.499999999999999722e-02,-1.425590024709701538e+03,3.267176601290702820e+02,4.787071943283081055e+00,5.462168764084577560e+03
8.000000000000000167e-02,-1.386455711573362350e+03,3.902660401761531830e+02,5.864163130521774292e+01,5.247468587428331375e+03
