timestamp,ch1,ch2,ch3,ch4
0.000000000000000000e+00,-1.117661621958017349e+03,4.937864709496498108e+02,4.455567211210727692e+02,5.567484346836805344e+03
5.000000000000000104e-03,-1.043821037232875824e+03,6.102319959700107574e+02,5.067115651965141296e+02,5.179372489035129547e+03
1.000000000000000021e-02,-1.020244707912206650e+03,6.113090871572494507e+02,5.362717344462871552e+02,5.296655751645565033e+03
1.499999999999999944e-02,-1.114430348396301270e+03,4.942651781439781189e+02,4.736807687878608704e+02,5.607695751160383224e+03
2.000000000000000042e-02,-1.103061052531003952e+03,5.405800991952419281e+02,4.308364748954772949e+02,5.302998621970415115e+03
2.500000000000000139e-02,-1.014500221580266953e+03,6.437414995729923248e+02,5.205940738320350647e+02,5.117619260966777802e+03
2.999999999999999889e-02,-1.144229871243238449e+03,4.655427464842796326e+02,4.054649935960769653e+02,5.501662107616662979e+03
3.500000000000000333e-02,-1.125081583470106125e+03,4.934274405539035797e+02,4.378974060118198395e+02,5.444695951491594315e+03
4.000000000000000083e-02,-1.028981114208698273e+03,6.309360821247100830e+02,5.508723038733005524e+02,5.095957760423421860e+03
4.499999999999999833e-02,-1.101265900552272797e+03,5.226285794079303741e+02,4.620721193253993988e+02,5.410588063895702362e+03
5.000000000000000278e-02,-1.125679967463016510e+03,4.824171750843524933e+02,4.252116653621196747e+02,5.566048225253820419e+03
5.500000000000000028e-02,-1.024553072661161423e+03,6.134632695317268372e+02,5.222695490121841431e+02,5.193254997670650482e+03
5.999999999999999778e-02,-1.023835011869668961e+03,6.024530040621757507e+02,5.112592835426330566e+02,5.282294535815715790e+03
6.500000000000000222e-02,-1.098513334184885025e+03,4.894781062006950378e+02,4.371793452203273773e+02,5.569877882808446884e+03
7.000000000000000666e-02,-1.111438428431749344e+03,4.984538660943508148e+02,4.518995914459228516e+02,5.240048625916242599e+03
7.499999999999999722e-02,-9.730920492708683014e+02,6.555895026326179504e+02,4.978554821014404297e+02,5.084468787759542465e+03
8.000000000000000167e-02,-1.118020652353763580e+03,4.642263016998767853e+02,3.350950360298156738e+02,5.439310495555400848e+03
8.500000000000000611e-02,-1.071945084899663925e+03,5.187989218533039093e+02,3.925398993492126465e+02,5.418008025407791138e+03
8.999999999999999667e-02,-1.021561152696609497e+03,6.037694488465785980e+02,4.103717423379421234e+02,5.006918222278356552e+03
9.500000000000000111e-02,-1.076492803245782852e+03,5.264582369625568390e+02,2.967984604835510254e+02,5.314008887439966202e+03
1.000000000000000056e-01,-1.100667516559362411e+03,5.008474020659923553e+02,2.871046397984027863e+02,5.491010872542858124e+03
1.049999999999999961e-01,-1.045855542808771133e+03,5.886901722252368927e+02,3.504136662483215332e+02,5.090572304487228394e+03
1.100000000000000006e-01,-1.050881968349218369e+03,5.702599452435970306e+02,3.619026389122009277e+02,5.166447394788265228e+03
1.150000000000000050e-01,-1.095760767817497253e+03,4.875632774233818054e+02,3.219305881857872009e+02,5.495199560493230820e+03
1.199999999999999956e-01,-1.094923030227422714e+03,5.161660322844982147e+02,3.546023541986942291e+02,5.207257183104753494e+03
1.250000000000000000e-01,-1.037837197303771973e+03,5.935969209671020508e+02,4.089356207549571991e+02,4.988487995296716690e+03
1.300000000000000044e-01,-1.105454588502645493e+03,5.053951204121112823e+02,3.391640471816062927e+02,5.442302415519952774e+03
1.350000000000000089e-01,-1.124124169081449509e+03,5.004883716702461243e+02,3.560384757816791534e+02,5.332319437623023987e+03
1.400000000000000133e-01,-9.648343501687049866e+02,6.862267630696296692e+02,5.103018691539764404e+02,5.021758145302534103e+03
1.449999999999999900e-01,-1.074577974468469620e+03,5.396226848065853119e+02,4.276052013337612152e+02,5.278225524663925171e+03
1.499999999999999944e-01,-1.209812756866216660e+03,3.985237392783164978e+02,3.696816308200359344e+02,5.325976567298173904e+03
1.549999999999999989e-01,-1.083793087959289551e+03,5.678664092719554901e+02,5.272959745526313782e+02,4.963116513997316360e+03
1.600000000000000033e-01,-1.051001645147800446e+03,5.918017689883708954e+02,5.665499644875526428e+02,5.060294074445962906e+03
1.650000000000000078e-01,-1.165771694988012314e+03,4.630295337140560150e+02,5.047967364192008972e+02,5.285765162974596024e+03
1.700000000000000122e-01,-1.093367231845855713e+03,5.707386524379253387e+02,5.924001529812812805e+02,5.000096644759178162e+03
1.749999999999999889e-01,-1.039632349282503128e+03,6.587010993957519531e+02,6.722245776355266571e+02,4.705093336254358292e+03
1.799999999999999933e-01,-1.149016943186521530e+03,5.359127040505409241e+02,5.694222076535224915e+02,5.027023924440145493e+03
1.849999999999999978e-01,-1.150931771963834763e+03,5.501542430818080902e+02,5.845014842748641968e+02,4.863306063979864120e+03
1.900000000000000022e-01,-1.090135958284139633e+03,6.333296180963516235e+02,2.714269791841506958e+02,4.653871666461229324e+03
1.950000000000000067e-01,-1.109164569258689880e+03,6.263883637785911560e+02,2.471325890719890594e+02,4.812802454978227615e+03
2.000000000000000111e-01,-1.015337959170341492e+03,7.804124035537242889e+02,2.601773601174354553e+02,4.301064464241266251e+03
2.049999999999999878e-01,-8.202647774815559387e+02,9.679459469318389893e+02,2.531164290010929108e+02,2.752566367387771606e+03
2.099999999999999922e-01,-1.022039859890937805e+03,7.405600296258926392e+02,2.393535971641540527e+00,-7.216271600902080536e+03
2.149999999999999967e-01,-9.954716106057167053e+02,7.520490022897720337e+02,-2.933278333246707916e+02,-1.555235900613665581e+04
2.200000000000000011e-01,-8.303176285624504089e+02,8.768719032108783722e+02,-2.831553054451942444e+02,-1.568627734375000000e+04
2.250000000000000056e-01,-8.202647774815559387e+02,6.594191601872444153e+02,-5.563774366080760956e+02,-1.568627734375000000e+04
2.300000000000000100e-01,-1.145067608833312988e+03,2.782485567033290863e+02,-8.474314107596874237e+02,-1.568627734375000000e+04
2.349999999999999867e-01,-1.276712087273597717e+03,-3.949334353208541870e+01,-1.731723275482654572e+03,-1.568627734375000000e+04
2.399999999999999911e-01,-1.299091648608446121e+03,-3.641764980852603912e+02,-2.099011370331048965e+03,-1.568627734375000000e+04
2.449999999999999956e-01,-1.170199736535549164e+03,-6.267473941743373871e+02,-2.169022297501564026e+03,-1.568627734375000000e+04
2.500000000000000000e-01,-1.107608770877122879e+03,-8.510217147171497345e+02,-1.336191456168889999e+03,-1.568627734375000000e+04
2.550000000000000044e-01,-1.438156088560819626e+03,-1.502542206197977066e+03,-8.936266550123691559e+02,-1.568627734375000000e+04
2.600000000000000089e-01,-1.689118335187435150e+03,-2.296717441588640213e+03,7.862765666842460632e+01,-1.568627734375000000e+04
