timestamp,ch1,ch2,ch3,ch4
0.000000000000000000e+00,-1.133458959370851517e+03,5.794750587344169617e+02,-5.894082330167293549e+02,4.734533828705549240e+03
5.000000000000000104e-03,-1.219745931148529053e+03,4.623114729225635529e+02,-7.092047083973884583e+02,4.922426402479410172e+03
1.000000000000000021e-02,-1.185518366754055023e+03,5.196366594433784485e+02,-6.530762898623943329e+02,4.854449980884790421e+03
1.499999999999999944e-02,-1.095521414220333099e+03,6.255506261885166168e+02,-5.428539583683013916e+02,4.708803317010402679e+03
2.000000000000000042e-02,-1.199400875389575958e+03,4.838532966673374176e+02,-6.817987215220928192e+02,4.879462431788444519e+03
2.500000000000000139e-02,-1.221062375932931900e+03,4.738004455864429474e+02,-6.989125037193298340e+02,4.922905109673738480e+03
2.999999999999999889e-02,-1.126038997858762741e+03,6.032907416522502899e+02,-5.652335197031497955e+02,4.715624894529581070e+03
3.500000000000000333e-02,-1.174867131680250168e+03,5.191579522490501404e+02,-6.451776211559772491e+02,4.780130688965320587e+03
4.000000000000000083e-02,-1.221660759925842285e+03,4.469928427040576935e+02,-7.162656395137310028e+02,4.924460908055305481e+03
4.499999999999999833e-02,-1.113113903611898422e+03,5.880917882323265076e+02,-5.749273403882980347e+02,4.806100554257631302e+03
5.000000000000000278e-02,-1.136690232932567596e+03,5.615235389471054077e+02,-5.986233465075492859e+02,4.710837822586297989e+03
5.500000000000000028e-02,-1.221541083127260208e+03,4.440009227395057678e+02,-7.239249546229839325e+02,4.905911004275083542e+03
5.999999999999999778e-02,-1.164335573405027390e+03,5.249024385809898376e+02,-6.442202067673206329e+02,4.871444086283445358e+03
6.500000000000000222e-02,-1.086545654326677322e+03,6.216012918353080750e+02,-5.397423616051673889e+02,4.718377460896968842e+03
7.000000000000000666e-02,-1.208615988880395889e+03,4.625508265197277069e+02,-6.947238157689571381e+02,4.859117376029491425e+03
7.499999999999999722e-02,-1.224173972696065903e+03,4.635082409083843231e+02,-6.974763821363449097e+02,4.910698076218366623e+03
8.000000000000000167e-02,-1.101146223753690720e+03,6.280638389587402344e+02,-5.429736351668834686e+02,4.746262154966592789e+03
8.500000000000000611e-02,-1.174149070888757706e+03,5.147299107015132904e+02,-6.461350355446338654e+02,4.795568995982408524e+03
8.999999999999999667e-02,-1.228242983847856522e+03,4.490273482799530029e+02,-7.187788522839546204e+02,4.929487333595752716e+03
9.500000000000000111e-02,-1.161223976641893387e+03,5.567364670038223267e+02,-6.110697335600852966e+02,4.781566810548305511e+03
1.000000000000000056e-01,-1.141596981674432755e+03,5.750470171868801117e+02,-5.886901722252368927e+02,4.729986110359430313e+03
1.049999999999999961e-01,-1.253614465147256851e+03,4.359825772345066071e+02,-7.374484328627586365e+02,4.902320700317621231e+03
1.100000000000000006e-01,-1.177619698047637939e+03,5.354339968562126160e+02,-6.448185907602310181e+02,4.883890473335981369e+03
1.150000000000000050e-01,-1.127355442643165588e+03,6.018546200692653656e+02,-5.739699259996414185e+02,4.689535352438688278e+03
1.199999999999999956e-01,-1.249784807592630386e+03,4.419664171636104584e+02,-7.264381673932075500e+02,4.837695229083299637e+03
1.250000000000000000e-01,-1.235303914964199066e+03,4.665001608729362488e+02,-7.082472940087318420e+02,4.906988095462322235e+03
1.300000000000000044e-01,-1.112635196417570114e+03,6.223193526268005371e+02,-5.489574750959873199e+02,4.739081547051668167e+03
1.350000000000000089e-01,-1.202392795354127884e+03,5.039589988291263580e+02,-6.594191601872444153e+02,4.788149034470319748e+03
1.400000000000000133e-01,-1.265462468206882477e+03,4.377777292132377625e+02,-7.267971977889537811e+02,4.918357391327619553e+03
1.449999999999999900e-01,-1.180731294810771942e+03,5.602070941627025604e+02,-6.031710648536682129e+02,4.773787818640470505e+03
1.499999999999999944e-01,-1.155838520705699921e+03,5.789963515400886536e+02,-5.791160283386707306e+02,4.734533828705549240e+03
1.549999999999999989e-01,-1.278746592849493027e+03,4.199458862245082855e+02,-7.384058472514152527e+02,4.885685625314712524e+03
1.600000000000000033e-01,-1.216275303989648819e+03,5.148495875000953674e+02,-6.558288562297821045e+02,4.850021939337253571e+03
1.650000000000000078e-01,-1.096478828608989716e+03,6.462547123432159424e+02,-5.129347587227821350e+02,4.732499323129653931e+03
1.700000000000000122e-01,-1.243681290864944458e+03,4.569260169863700867e+02,-7.014257164895534515e+02,4.847748080164194107e+03
1.749999999999999889e-01,-1.257803153097629547e+03,4.558489257991313934e+02,-7.086063244044780731e+02,4.901004255533218384e+03
1.799999999999999933e-01,-1.125919321060180664e+03,6.183700182735919952e+02,-5.450081407427787781e+02,4.739201223850250244e+03
1.849999999999999978e-01,-1.190185761898756027e+03,5.290911265313625336e+02,-6.393134580254554749e+02,4.798201885551214218e+03
1.900000000000000022e-01,-1.240569694101810455e+03,4.651837160885334015e+02,-7.078882636129856110e+02,4.930444747984409332e+03
1.950000000000000067e-01,-1.158232056677341461e+03,5.811505339145660400e+02,-5.894082330167293549e+02,4.783960346519947052e+03
2.000000000000000111e-01,-1.158112379878759384e+03,5.782782907485961914e+02,-5.897672634124755859e+02,4.711914913773536682e+03
2.049999999999999878e-01,-1.255289940327405930e+03,4.474715498983860016e+02,-7.269168745875358582e+02,4.881377260565757751e+03
2.099999999999999922e-01,-1.196289278626441956e+03,5.341175520718097687e+02,-6.406299028098583221e+02,4.844277453005313873e+03
2.149999999999999967e-01,-1.085827593535184860e+03,6.608552817702293396e+02,-5.081476867794990540e+02,4.717061016112565994e+03
2.200000000000000011e-01,-1.245835473239421844e+03,4.621917961239814758e+02,-7.113588907718658447e+02,4.815315667748451233e+03
2.250000000000000056e-01,-1.243800967663526535e+03,4.710478792190551758e+02,-7.031011916697025299e+02,4.864263478368520737e+03
2.300000000000000100e-01,-1.123765138685703278e+03,6.212422614395618439e+02,-5.509919806718826294e+02,4.692886302798986435e+03
2.349999999999999867e-01,-1.190664469093084335e+03,5.221498722136020660e+02,-6.463743891417980194e+02,4.756195329248905182e+03
2.399999999999999911e-01,-1.236740036547183990e+03,4.626705033183097839e+02,-7.163853163123130798e+02,4.900046841144561768e+03
2.449999999999999956e-01,-1.133458959370851517e+03,5.988627001047134399e+02,-5.855785754621028900e+02,4.774505879431962967e+03
2.500000000000000000e-01,-1.161702683836221695e+03,5.634383677244186401e+02,-6.081974903941154480e+02,4.687381170064210892e+03
2.550000000000000044e-01,-1.263547639429569244e+03,4.396925579905509949e+02,-7.370894024670124054e+02,4.868811196714639664e+03
2.600000000000000089e-01,-1.183005153983831406e+03,5.442900799512863159e+02,-6.375183060467243195e+02,4.847269372969865799e+03
2.650000000000000133e-01,-1.127355442643165588e+03,6.135829463303089142e+02,-5.553003454208374023e+02,4.664522901535034180e+03
2.700000000000000178e-01,-1.249784807592630386e+03,4.565669865906238556e+02,-7.121966283619403839e+02,4.814238576561212540e+03
2.750000000000000222e-01,-1.249306100398302078e+03,4.651837160885334015e+02,-7.121966283619403839e+02,4.867375075131654739e+03
2.800000000000000266e-01,-1.124483199477195740e+03,6.248325653970241547e+02,-5.527871326506137848e+02,4.693963393986225128e+03
2.849999999999999756e-01,-1.179773880422115326e+03,5.307666017115116119e+02,-6.339280020892620087e+02,4.771394282668828964e+03
2.899999999999999800e-01,-1.225969124674797058e+03,4.781088103353977203e+02,-6.941254317760467529e+02,4.917040946543216705e+03
2.949999999999999845e-01,-1.177978728443384171e+03,5.618825693428516388e+02,-6.079581367969512939e+02,4.741834113419055939e+03
2.999999999999999889e-01,-1.174986808478832245e+03,5.624809533357620239e+02,-6.053252472281455994e+02,4.699109496325254440e+03
3.049999999999999933e-01,-1.255529293924570084e+03,4.570456937849521637e+02,-7.135130731463432312e+02,4.895259769201278687e+03
3.099999999999999978e-01,-1.218309809565544128e+03,5.306469249129295349e+02,-6.463743891417980194e+02,4.831113005161285400e+03
3.150000000000000022e-01,-1.155120459914207458e+03,6.109500567615032196e+02,-5.678664092719554901e+02,4.655307788044214249e+03
3.200000000000000067e-01,-1.192818651467561722e+03,5.465639391243457794e+02,-6.226783830225467682e+02,4.936907295107841492e+03
3.250000000000000111e-01,-1.135373788148164749e+03,6.499646930992603302e+02,-5.064722115993499756e+02,4.708444286614656448e+03
3.300000000000000155e-01,-1.262111517846584320e+03,4.887600454092025757e+02,-6.886202990412712097e+02,4.722925179243087769e+03
3.350000000000000200e-01,-1.297775203824043274e+03,4.180310574471950531e+02,-6.591798065900802612e+02,4.847867756962776184e+03
3.400000000000000244e-01,-1.023835011869668961e+03,7.688037540912628174e+02,-4.276052013337612152e+02,4.917160623341798782e+03
3.449999999999999734e-01,-9.885303562879562378e+02,7.840027075111865997e+02,-3.911037777662277222e+02,4.878026310205459595e+03
3.499999999999999778e-01,-1.226328155070543289e+03,5.009670788645744324e+02,-5.568561438024044037e+02,4.891310434848070145e+03
3.549999999999999822e-01,-1.348159136027097702e+03,3.815296338796615601e+02,-8.870444310903549194e+02,4.659496475994586945e+03
3.599999999999999867e-01,-1.027425315827131271e+03,7.252413994073867798e+02,-4.781088103353977203e+02,4.644536876171827316e+03
3.649999999999999911e-01,-9.740494636595249176e+02,7.315842697322368622e+02,-3.031413308084011078e+02,4.698032405138015747e+03
3.699999999999999956e-01,-1.326018928289413452e+03,4.025927504301071167e+02,-1.057583869069814682e+03,4.092587481111288071e+03
3.750000000000000000e-01,-1.156077874302864075e+03,6.182503414750099182e+02,-7.095637387931346893e+02,2.824133092939853668e+03
3.800000000000000044e-01,-1.034964954137802124e+03,7.047766668498516083e+02,-7.031011916697025299e+02,2.186495110094547272e+02
3.850000000000000089e-01,-1.306032902926206589e+03,4.570456937849521637e+02,-1.012465716004371643e+03,-3.450641133517026901e+03
3.900000000000000133e-01,-1.277430148065090179e+03,4.179113806486129761e+02,-9.224687634706497192e+02,-1.089370026773214340e+04
3.950000000000000178e-01,-1.299809709399938583e+03,3.001494108438491821e+02,-1.175585192471742630e+03,-1.541520939496159554e+04
4.000000000000000222e-01,-1.397465977042913437e+03,-3.303079640865325928e+01,-1.371017404556274414e+03,-1.568627734375000000e+04
4.050000000000000266e-01,-1.653694002807140350e+03,-3.064922811686992645e+02,-1.652377558022737503e+03,-1.568627734375000000e+04
4.099999999999999756e-01,-1.100308486163616180e+03,1.372692879736423492e+02,-9.471221839785575867e+02,-1.568627734375000000e+04
4.149999999999999800e-01,-1.896159196734428406e+03,-9.054746580719947815e+02,-2.122946730047464371e+03,-1.568627734375000000e+04
4.199999999999999845e-01,-1.421999720752239227e+03,-5.913230617940425873e+02,-1.752427361637353897e+03,-1.568627734375000000e+04
4.249999999999999889e-01,-1.674517765760421753e+03,-1.047890048384666443e+03,-2.235801951110363007e+03,-1.568627734375000000e+04
4.299999999999999933e-01,-1.534974618613719940e+03,-1.230636519819498062e+03,-2.256386360466480255e+03,-1.568627734375000000e+04
4.349999999999999978e-01,-1.921530678033828735e+03,-1.880601212918758392e+03,-3.108485166370868683e+03,-1.568627734375000000e+04
4.400000000000000022e-01,-1.712215957313776016e+03,-1.952048261672258377e+03,-3.358250645011663437e+03,-1.568627734375000000e+04
4.450000000000000067e-01,-1.698213771879673004e+03,-2.404306883513927460e+03,-3.696816308200359344e+03,-1.568627734375000000e+04
4.500000000000000111e-01,-1.970239135056734085e+03,-3.209851414769887924e+03,-4.287540986001491547e+03,-1.568627734375000000e+04
4.550000000000000155e-01,-2.041566507011651993e+03,-3.615196731567382812e+03,-4.784798084110021591e+03,-1.568627734375000000e+04
4.600000000000000200e-01,-2.013442459344863892e+03,-3.811706034839153290e+03,-5.089375536501407623e+03,-1.568627734375000000e+04
4.650000000000000244e-01,-2.244299003809690475e+03,-4.322725964784622192e+03,-5.708224261969327927e+03,-1.568627734375000000e+04
4.699999999999999734e-01,-2.182545775741338730e+03,-4.516482701689004898e+03,-5.739340229600667953e+03,-1.568627734375000000e+04
4.749999999999999778e-01,-2.246213832587003708e+03,-4.778455213785171509e+03,-6.002270156085491180e+03,-1.568627734375000000e+04
4.799999999999999822e-01,-2.097455571949481964e+03,-4.841165856242179871e+03,-5.918257043480873108e+03,-1.568627734375000000e+04
4.849999999999999867e-01,-2.482336156189441681e+03,-5.484548325419425964e+03,-6.462786477029323578e+03,-1.568627734375000000e+04
4.899999999999999911e-01,-2.274098526656627655e+03,-5.501063723623752594e+03,-6.388467185109853745e+03,-1.568627734375000000e+04
4.949999999999999956e-01,-2.223475240856409073e+03,-5.656164854586124420e+03,-6.356154449492692947e+03,-1.568627734375000000e+04
5.000000000000000000e-01,-2.442842812657356262e+03,-6.054449240267276764e+03,-6.635121066987514496e+03,-1.568627734375000000e+04
5.050000000000000044e-01,-2.329748237997293472e+03,-6.056364069044589996e+03,-6.479660905629396439e+03,-1.568627734375000000e+04
5.100000000000000089e-01,-2.110380666196346283e+03,-5.908084515601396561e+03,-6.138701706469058990e+03,-1.568627734375000000e+04
5.150000000000000133e-01,-2.517401458173990250e+03,-6.394570701837539673e+03,-6.611185707271099091e+03,-1.568627734375000000e+04
5.200000000000000178e-01,-2.520752408534288406e+03,-6.443039805263280869e+03,-6.484687331169843674e+03,-1.568627734375000000e+04
5.250000000000000222e-01,-2.255309269279241562e+03,-6.149831648737192154e+03,-6.099328039735555649e+03,-1.568627734375000000e+04
5.300000000000000266e-01,-2.403110115528106689e+03,-6.370515665322542191e+03,-6.308882114052772522e+03,-1.568627734375000000e+04
5.350000000000000311e-01,-2.382645382970571518e+03,-6.351008347153663635e+03,-6.221398374289274216e+03,-1.568627734375000000e+04
5.400000000000000355e-01,-2.166150054335594177e+03,-6.076350094407796860e+03,-5.912991264343261719e+03,-1.568627734375000000e+04
5.450000000000000400e-01,-2.350452324151992798e+03,-6.231092194974422455e+03,-5.998919205725193024e+03,-1.568627734375000000e+04
5.500000000000000444e-01,-2.277329800218343735e+03,-6.121468247473239899e+03,-5.899348109304904938e+03,-1.568615766695141792e+04
5.550000000000000488e-01,-2.328551470011472702e+03,-6.080179751962423325e+03,-5.853631572246551514e+03,-1.552926138401031494e+04
5.600000000000000533e-01,-2.143411462604999542e+03,-5.822874635010957718e+03,-5.560902122914791107e+03,-1.520074857190251350e+04
5.649999999999999467e-01,-2.197266021966934204e+03,-5.813898875117301941e+03,-5.558149556547403336e+03,-1.475351637560129166e+04
5.699999999999999512e-01,-2.253514117300510406e+03,-5.723782245784997940e+03,-5.518775889813899994e+03,-1.416470652657747269e+04
5.749999999999999556e-01,-2.008416033804416656e+03,-5.319394343376159668e+03,-5.072740461498498917e+03,-1.366936425724625587e+04
5.799999999999999600e-01,-2.124622205227613449e+03,-5.321907556146383286e+03,-5.171234466731548309e+03,-1.318000582784414291e+04
5.849999999999999645e-01,-2.204326953083276749e+03,-5.294860599666833878e+03,-5.203068495154380798e+03,-1.260388171947002411e+04
5.899999999999999689e-01,-2.027205291181802750e+03,-4.936189234316349030e+03,-4.896217183589935303e+03,-1.214049315536022186e+04
5.949999999999999734e-01,-1.987831624448299408e+03,-4.743389911800622940e+03,-4.752485348492860794e+03,-1.165496438351273537e+04
5.999999999999999778e-01,-2.051739034891128540e+03,-4.685945048481225967e+03,-4.769718807488679886e+03,-1.084762470027804375e+04
6.049999999999999822e-01,-1.958032101601362228e+03,-4.406619400590658188e+03,-4.561720531553030014e+03,-1.021118348541855812e+04
6.099999999999999867e-01,-1.795032301932573318e+03,-4.045554499268531799e+03,-4.281437469273805618e+03,-9.778551858544349670e+03
6.149999999999999911e-01,-1.895321459144353867e+03,-3.996367335051298141e+03,-4.355397730797529221e+03,-9.312410728067159653e+03
6.199999999999999956e-01,-1.970358811855316162e+03,-3.906011352121829987e+03,-4.341156191766262054e+03,-8.987009512722492218e+03
6.250000000000000000e-01,-1.789168138802051544e+03,-3.532978770941495895e+03,-4.054530259162187576e+03,-8.703136146485805511e+03
6.300000000000000044e-01,-1.809393517762422562e+03,-3.441785050421953201e+03,-4.003787296563386917e+03,-8.319691683828830719e+03
6.350000000000000089e-01,-1.879404444932937622e+03,-3.347001025944948196e+03,-4.039211628943681717e+03,-7.892086482495069504e+03
6.400000000000000133e-01,-1.789048462003469467e+03,-3.069949237227439880e+03,-3.836120101749897003e+03,-7.589902566075325012e+03
6.450000000000000178e-01,-1.708027269363403320e+03,-2.825329860925674438e+03,-3.659237793445587158e+03,-7.247626922130584717e+03
6.500000000000000222e-01,-1.829618896722793579e+03,-2.782246213436126709e+03,-3.714169443994760513e+03,-6.804583413779735565e+03
6.550000000000000266e-01,-1.675834210544824600e+03,-2.419984544128179550e+03,-3.451478871107101440e+03,-6.400793895363807678e+03
6.600000000000000311e-01,-1.612644860893487930e+03,-2.180511270165443420e+03,-3.315166997522115707e+03,-6.214816150367259979e+03
6.650000000000000355e-01,-1.789766522794961929e+03,-2.249564782947301865e+03,-3.426346743404865265e+03,-5.922924438625574112e+03
6.700000000000000400e-01,-1.728252648323774338e+03,-2.015835995316505432e+03,-3.253892476648092270e+03,-5.466955836027860641e+03
6.750000000000000444e-01,-1.569800567001104355e+03,-1.667696188241243362e+03,-2.987731276601552963e+03,-5.192297583281993866e+03
6.800000000000000488e-01,-1.697376034289598465e+03,-1.649984022051095963e+03,-3.034165874451398849e+03,-4.928529919207096100e+03
6.850000000000000533e-01,-1.691033163964748383e+03,-1.475016542524099350e+03,-2.945006659507751465e+03,-4.461910081535577774e+03
6.899999999999999467e-01,-1.587393056392669678e+03,-1.155718843907117844e+03,-2.710440134286880493e+03,-4.139022078961133957e+03
6.949999999999999512e-01,-1.568005415022373199e+03,-9.420957584381103516e+02,-2.560006398469209671e+03,-3.856465157508850098e+03
6.999999999999999556e-01,-1.654412063598632812e+03,-8.029116416871547699e+02,-2.531283966809511185e+03,-3.488459001868963242e+03
7.049999999999999600e-01,-1.530905607461929321e+03,-4.107307727336883545e+02,-2.199659557938575745e+03,-3.157073946595191956e+03
7.099999999999999645e-01,-1.347560752034187317e+03,-5.636777213215827942e+01,-1.906810431808233261e+03,-2.799359995633363724e+03
7.149999999999999689e-01,-1.344927862465381622e+03,4.320332428812980652e+01,-1.801973556250333786e+03,-2.217012693732976913e+03
7.199999999999999734e-01,-1.239372926115989685e+03,3.137925658822059631e+02,-1.512834410876035690e+03,-1.770498558223247528e+03
7.249999999999999778e-01,-1.160146885454654694e+03,6.212422614395618439e+02,-1.166489755779504776e+03,-1.677868716120719910e+03
7.299999999999999822e-01,-1.155240136712789536e+03,7.826862627267837524e+02,-1.019047939926385880e+03,-1.418529093593358994e+03
7.349999999999999867e-01,-9.418564048409461975e+02,1.063208678603172302e+03,-7.998000449240207672e+02,-8.175122111141681671e+02
7.399999999999999911e-01,-7.998000449240207672e+02,1.425230994313955307e+03,-5.260992065668106079e+02,-6.917318958044052124e+02
7.449999999999999956e-01,-7.603067013919353485e+02,1.695820235908031464e+03,-3.730325811803340912e+02,-6.010168824791908264e+02
7.500000000000000000e-01,-8.228976670503616333e+02,1.889816326409578323e+03,-3.309063480794429779e+02,-3.365311576128005981e+02
7.550000000000000044e-01,-7.552802758514881134e+02,2.212584652185440063e+03,-2.009373448193073273e+02,-2.237956133484840393e+02
7.600000000000000089e-01,-5.591300029754638672e+02,2.597584913223981857e+03,1.073500883281230927e+02,-7.755056548118591309e+01
7.650000000000000133e-01,-6.145403607189655304e+02,2.640668560713529587e+03,1.223096881508827209e+02,2.198462789952754974e+02
7.700000000000000178e-01,-6.596585137844085693e+02,2.757951823323965073e+03,2.200856325924396515e+02,3.525678486227989197e+02
7.750000000000000222e-01,-4.988128964900970459e+02,3.087661403417587280e+03,5.255008225739002228e+02,4.180310574471950531e+02
7.800000000000000266e-01,-6.192077558636665344e+02,3.068154085248708725e+03,4.836139430701732635e+02,5.760044315755367279e+02
7.850000000000000311e-01,-6.882612686455249786e+02,3.136010830044746399e+03,5.568561438024044037e+02,9.389841616749763489e+02
7.900000000000000355e-01,-5.757650779783725739e+02,3.416892276316881180e+03,8.285224765837192535e+02,1.086545654326677322e+03
7.950000000000000400e-01,-5.465639391243457794e+02,3.550930290728807449e+03,9.325216145515441895e+02,1.265223114609718323e+03
8.000000000000000444e-01,-6.652833233177661896e+02,3.517301110327243805e+03,8.406098332405090332e+02,1.687562536805868149e+03
8.050000000000000488e-01,-6.418266707956790924e+02,3.660554238229990005e+03,9.115781747996807098e+02,1.903938188642263412e+03
8.100000000000000533e-01,-4.893584294021129608e+02,3.929228651046752930e+03,1.109523599654436111e+03,2.168064883112907410e+03
8.149999999999999467e-01,-6.582223922014236450e+02,3.852037115961313248e+03,9.156471859514713287e+02,2.365411923974752426e+03
8.199999999999999512e-01,-6.067613688111305237e+02,4.012284349262714386e+03,9.915222762525081635e+02,2.628461527258157730e+03
8.249999999999999556e-01,-4.759546279609203339e+02,4.269709143012762070e+03,1.189946408301591873e+03,2.667954870790243149e+03
8.299999999999999600e-01,-5.247827617824077606e+02,4.285745834022760391e+03,1.138605061709880829e+03,2.840768167942762375e+03
